Model,Original_Image_URL,Transparent_Image_File,Transparent_Image_URL,Status,Error
Evija,https://i.pinimg.com/1200x/71/19/07/7119078903893ec982fffabc99c47716.jpg,output\transparent_cars\Evija.png,,SUCCESS,
Nevera,https://i.pinimg.com/736x/e6/c6/fa/e6c6fa68078f6f29f1d3b23798d80c28.jpg,output\transparent_cars\Nevera.png,,SUCCESS,
Jesko Attack,https://i.pinimg.com/1200x/43/93/20/439320b83220935e2be999cabfe0e7de.jpg,output\transparent_cars\Jesko_Attack.png,,SUCCESS,
Gemera,https://i.pinimg.com/1200x/bf/0b/03/bf0b0367a16675902f1b7004cdf4b629.jpg,output\transparent_cars\Gemera.png,,SUCCESS,
Utopia,https://i.pinimg.com/736x/33/eb/6d/33eb6d0586ad9ce455ed346122584c2b.jpg,output\transparent_cars\Utopia.png,,SUCCESS,
Tourbillon,https://i.pinimg.com/1200x/94/99/bf/9499bf658e2ae1f8a523a03e73280833.jpg,output\transparent_cars\Tourbillon.png,,SUCCESS,
Venom F5,https://i.pinimg.com/736x/15/68/a2/1568a2830459cec76a7d1e1918df53ba.jpg,output\transparent_cars\Venom_F5.png,,SUCCESS,
Tuatara,https://i.pinimg.com/736x/6d/7d/a7/6d7da7788090c2d7a80e5882c27d69ce.jpg,output\transparent_cars\Tuatara.png,,SUCCESS,
T.50,https://i.pinimg.com/1200x/37/cf/04/37cf04bb5b7b9b45b49edb0e1de8af35.jpg,output\transparent_cars\T.50.png,,SUCCESS,
21C,https://i.pinimg.com/736x/17/d2/78/17d278e4e93cd37b256f030842938ce9.jpg,output\transparent_cars\21C.png,,SUCCESS,
Aurora Tur,https://i.pinimg.com/736x/78/8e/9d/788e9d1a5c438336cb0c0397c75ea1e4.jpg,output\transparent_cars\Aurora_Tur.png,,SUCCESS,
Challenger SRT Demon 170,https://i.pinimg.com/736x/95/e8/07/95e80774a3cd1cf463203b204c6e5331.jpg,output\transparent_cars\Challenger_SRT_Demon_170.png,,SUCCESS,
